company,score,Sector,url
J A Finance Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/543860/
Standard Capital Markets Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511700/consolidated/
Intec Capital Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/526871/consolidated/
Kinetic Trust Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531274/
Lead Financial Services Ltd,34,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531288/
Beryl Securities Ltd,33,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531582/
Rander Corporation Ltd,33,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531228/
Vani Commercials Ltd,33,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538918/
Thirani Projects Ltd,33,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538464/
Madhusudan Securities Ltd,32,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511000/consolidated/
Softrak Venture Investment Ltd,32,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531529/
Franklin Leasing & Finance Ltd,31,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539839/
Scintilla Commercial & Credit Ltd,31,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538857/
Money Masters Leasing & Finance Ltd,31,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/535910/
Swati Projects Ltd,29,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/543914/consolidated/
Sungold Capital Ltd,29,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531433/
Purshottam Investofin Ltd,29,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538647/
Rajkot Investment Trust Ltd,29,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539495/
Yogi Ltd,29,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511702/consolidated/
Fynx Capital Ltd,29,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/507962/
Mangalam Industrial Finance Ltd,29,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/537800/
Lyons Corporate Market Ltd,29,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531441/
Dhansafal Finserve Ltd,28,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/512048/
Goenka Business & Finance Ltd,28,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538787/
Sarvottam Finvest Ltd,28,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539124/
Last Mile Enterprises Ltd,28,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/526961/consolidated/
G K Consultants Ltd,28,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531758/
Global Capital Markets Ltd,27,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530263/
Capfin India Ltd,27,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539198/
Integra Capital Ltd,27,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531314/
Abhishek Finlease Ltd,27,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538935/
HB Stockholdings Ltd,27,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/HBSL/
Panafic Industrials Ltd,27,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538860/
Krishna Capital & Securities Ltd,27,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539384/consolidated/
Kuber Udyog Ltd,27,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539408/
Voltaire Leasing & Finance Ltd,26,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/509038/
Ramchandra Leasing and Finance Ltd,26,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538540/
Arman Financial Services Ltd,26,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/ARMANFIN/consolidated/
Bazel International Ltd,26,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539946/consolidated/
Libord Finance Ltd,26,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511593/
Dynamic Portfolio Management & Services Ltd,26,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530779/
GSL Securities Ltd,25,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530469/
Atharv Enterprises Ltd,24,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530187/
Prism Medico & Pharmacy Ltd,24,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/512217/
Sunshine Capital Ltd,24,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539574/
Typhoon Financial Services Ltd,24,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539468/
KEN Financial Services Ltd,24,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530547/
Sharp Investments Ltd,23,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538212/
Systematix Securities Ltd,23,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531432/
Mathew Easow Research Securities Ltd,23,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511688/
India Lease Development Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/500202/
Indo Credit Capital Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/526887/
ISF Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/526859/
India Cements Capital Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511355/consolidated/
Salem Erode Investments Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/540181/
R G F Capital Markets Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539669/
Ashtasidhhi Industries Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531341/
Kapil Raj Finance Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539679/
Epuja Spiritech Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/532092/
Viji Finance Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/VIJIFIN/
Virat Leasing Ltd,22,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539167/
Shree Securities Ltd,21,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538975/
Minolta Finance Ltd,21,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/532164/
